TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
102433;Endothenia nigricostana;stinksyskevecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);Viktig;Förekommer;;;;;;;
100895;Endothenia oblongana;klintrotvecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2ab(iii);;Viktig;Förekommer;;;;;;
100896;Enicmus apicalis;slemsvampmögelbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;;;;Förekommer;;;;
100897;Enicmus brevicornis;lindmögelbagge;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;Förekommer;;;;;;;
102237;Enicmus lundbladi;aspmögelbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;Förekommer;;;;;;;
100898;Enicmus planipennis;granbarkmögelbagge;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;;;;;;;;
100900;Ennearthron palmi;Palms svampborrare;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;Förekommer;;;;;;;
100901;Ennearthron pruinosulum;lindsvampborrare;Bofast och reproducerande;Art;Skalbaggar;Starkt hotad (EN);B2ab(iii);Viktig;Förekommer;;;;;;;
100903;Enoplognatha oelandica;marmorklotspindel;Bofast och reproducerande;Art;Spindeldjur;Starkt hotad (EN);B2ab(iii);;Viktig;;;;;Viktig;;
250112;Ensis ensis;knivmussla;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
102756;Entalina tetragona;;Bofast och reproducerande;Art;Blötdjur;Nära hotad (NT°);D2;;;;;;;;Viktig;
100904;Entelecara omissa;kärrgropspindel;Bofast och reproducerande;Art;Spindeldjur;Nära hotad (NT);B2ab(iii);;;;;Viktig;;;;
586;Enterographa crassa;barkzonlav;Bofast och reproducerande;Art;Lavar;Starkt hotad (EN);D;Viktig;;;;;;;;
587;Enterographa hutchinsiae;klippzonlav;Bofast och reproducerande;Art;Lavar;Starkt hotad (EN);D;Viktig;;;;;;;;
102434;Enteucha acetosae;syradvärgmal;Ej längre bofast, nu endast tillfälligt förekommande;Art;Fjärilar;Nationellt utdöd (RE);;;Viktig;Viktig;;;;;;
2786;Entodon concinnus;briljantmossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);C2a(i);;Viktig;;Viktig;;;;;
589;Entoloma ameides;doftrödhätting;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;Förekommer;Viktig;Förekommer;;;;;;
3939;Entoloma atrocoeruleum;backnopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;;Viktig;;;;;;;
603;Entoloma bloxamii;blårödling;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);"A2c+3c+4c; C1";Förekommer;Viktig;;;;;;;
